origin,Alaska,Atlanta,Texas,Maryland,Massachusetts,Illinois,Texas,Denver,Hawaii,Texas,Indiana,Alabama,Nevada,California,Tennessee,Florida,Louisiana,New York,New Jersey,California,Pennsylvania,Arizona,Oregon,Texas,California,San Francisco,California,Washington,Florida,Arizona,Washington
Alaska,0.0,1094.304,1018.314,1078.5639999999999,1083.29,916.866,980.9660000000001,770.346,895.482,1052.146,968.5219999999999,1186.028,738.142,752.628,1008.634,1286.5780000000002,1103.6100000000001,1081.1599999999999,1079.0439999999999,645.364,1082.28,818.49,495.108,1026.644,788.24,644.75,657.5840000000001,461.418,1221.714,852.7459999999999,1081.002
Atlanta,1094.304,0.0,263.056,185.47000000000003,301.022,188.88,231.48399999999998,389.08400000000006,1444.978,225.344,137.422,91.726,560.242,621.6020000000001,108.28599999999999,194.76800000000003,136.466,239.906,237.95999999999998,684.216,214.04999999999998,510.946,697.528,283.49,606.974,686.8560000000001,678.406,700.614,134.074,494.48999999999995,174.256
Texas,1018.314,263.056,0.0,433.20000000000005,544.802,314.35200000000003,58.70399999999999,248.154,1205.8739999999998,47.14,297.88599999999997,308.40999999999997,348.342,394.0179999999999,180.094,358.016,147.542,485.974,483.53200000000004,479.99600000000004,461.61,279.30999999999995,549.344,23.669999999999998,371.344,482.38199999999995,471.26,569.142,300.964,254.04400000000004,423.23400000000004
Maryland,1078.5639999999999,185.47000000000003,433.20000000000005,0.0,115.57,194.64600000000002,389.456,484.464,1558.55,402.09399999999994,163.882,219.218,675.488,744.49,254.64600000000002,307.7,321.30999999999995,54.488,52.494,785.722,28.826,643.3960000000001,757.724,455.658,737.056,788.3979999999999,782.454,748.8199999999999,274.144,634.332,11.432
Massachusetts,1083.29,301.022,544.802,115.57,0.0,273.326,498.19399999999996,567.7239999999999,1634.362,515.7180000000001,259.062,327.13,761.962,833.2860000000001,364.894,404.492,436.836,61.12200000000001,63.08200000000001,863.4219999999999,87.012,738.168,814.608,567.672,829.31,866.0680000000001,861.484,799.4159999999999,380.586,732.406,126.77000000000001
Illinois,916.866,188.88,314.35200000000003,194.64600000000002,273.326,0.0,258.03000000000003,294.85200000000003,1366.336,302.124,52.62599999999999,277.49,488.756,559.96,154.622,382.472,267.90200000000004,228.994,226.152,593.556,213.71599999999998,466.42600000000004,564.172,337.916,556.3979999999999,596.2239999999999,590.8899999999999,557.314,322.95399999999995,462.956,191.15200000000002
Texas,980.9660000000001,231.48399999999998,58.70399999999999,389.456,498.19399999999996,258.03000000000003,0.0,212.882,1218.8220000000001,72.452,245.54200000000003,291.634,343.684,398.01599999999996,135.044,357.004,142.20799999999997,440.804,438.25,473.656,417.288,284.408,524.5680000000001,81.308,379.87600000000003,476.17600000000004,466.078,540.1179999999999,294.91599999999994,264.848,380.092
Denver,770.346,389.08400000000006,248.154,484.464,567.7239999999999,294.85200000000003,212.882,0.0,1074.28,282.48,321.046,471.22799999999995,194.56800000000004,266.99800000000005,282.12399999999997,554.596,347.33200000000005,523.3159999999999,520.4760000000001,302.08400000000006,506.418,188.39600000000002,315.642,257.98199999999997,267.87800000000004,304.764,298.262,327.982,489.28,198.19599999999997,478.908
Hawaii,895.482,1444.978,1205.8739999999998,1558.55,1634.362,1366.336,1218.8220000000001,1074.28,0.0,1252.6219999999998,1395.324,1510.232,887.086,823.398,1337.9180000000001,1562.078,1352.922,1595.1820000000002,1592.344,772.92,1579.726,934.838,834.604,1193.3700000000001,839.0260000000001,770.2460000000001,776.106,861.802,1506.8319999999999,954.46,1553.166
Texas,1052.146,225.344,47.14,402.09399999999994,515.7180000000001,302.124,72.452,282.48,1252.6219999999998,0.0,278.354,263.822,394.31399999999996,441.02399999999994,155.692,310.88800000000003,101.996,455.808,453.488,525.8800000000001,430.814,326.282,589.846,60.95399999999999,418.48199999999997,528.2919999999999,517.3299999999999,607.69,254.24800000000002,301.18399999999997,391.68
