,userid,placeid,frequency,id,created_at,lng,lat,photos_count,checkins_count,users_count,radius_meters,highlights_count,items_count,max_items_count,spot_categories,state
1,15,8947,2,8947,2008-12-16T23:14:05Z,-122.0296311378,37.3318803266,91,3100,1186,200,20,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",California
2,15,9073,1,9073,2009-02-07T01:47:24Z,-122.3937249184,37.7953388902,114,2654,1659,100,14,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",California
4,15,9591,1,9591,2009-03-19T14:05:12Z,-122.1597719167,37.4479079167,54,1418,525,150,0,10,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]",California
5,15,10299,1,10299,2009-03-27T20:44:47Z,-122.0294594667,37.3324012667,16,1149,348,75,4,10,10,"[{'url': '/categories/64', 'name': 'Other - Food '}]",California
6,15,14710,1,14710,2009-06-06T20:53:27Z,-122.4065190554,37.7858259859,151,4361,2205,75,8,11,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]",California
7,15,27439,1,27439,2009-09-23T07:11:27Z,-122.0150547513,37.3258900578,16,686,301,100,1,10,10,"[{'url': '/categories/462', 'name': 'AMC Theatre'}]",California
9,15,343699,1,343699,2010-01-08T13:47:39Z,-79.9421346188,40.4433871477,2,155,49,100,0,4,10,"[{'url': '/categories/145', 'name': 'Student Center'}]",Pennsylvania
10,15,548763,1,548763,2010-02-13T00:51:57Z,-122.0069463333,37.3328324833,1,12,8,75,0,1,10,"[{'url': '/categories/186', 'name': 'Bank & Financial'}]",California
11,15,1050882,1,1050882,2010-05-02T01:52:11Z,-121.9959445333,37.3316787,0,22,18,75,0,1,10,"[{'url': '/categories/119', 'name': 'Gas & Automotive'}]",California
12,15,7198013,1,7198013,2011-04-08T18:48:13Z,-122.4038743973,37.7831295924,87,893,380,500,11,10,10,"[{'url': '/categories/232', 'name': 'Conference'}]",California
13,37,10817,1,10817,2009-04-08T23:18:37Z,-158.0380725833,21.5258002167,40,316,233,150,2,10,10,"[{'url': '/categories/214', 'name': 'Garden'}]",Hawaii
14,37,34906,3,34906,2009-10-03T00:03:56Z,-118.0817516,34.1466541,0,15,11,75,0,1,10,"[{'url': '/categories/117', 'name': 'Salon & Barbershop'}]",California
15,37,39911,1,39911,2009-10-07T23:46:36Z,-118.2590668292,34.1425933945,3,291,114,50,0,8,10,"[{'url': '/categories/438', 'name': 'Target'}]",California
16,37,43229,1,43229,2009-10-10T22:06:29Z,-157.6766977667,21.2823413333,17,125,97,300,0,10,10,"[{'url': '/categories/113', 'name': 'Big Blue Wet Thing'}]",Hawaii
17,37,44243,1,44243,2009-10-11T18:34:23Z,-118.0824074851,34.1501677186,0,57,37,75,0,3,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]",California
18,37,59855,1,59855,2009-10-24T01:58:27Z,-118.1416963769,34.1475315706,5,72,52,50,0,3,10,"[{'url': '/categories/155', 'name': 'Pizza'}]",California
19,37,62846,1,62846,2009-10-25T21:12:07Z,-118.1515671983,34.1457495854,12,739,239,50,1,10,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]",California
20,37,66890,1,66890,2009-10-28T20:42:45Z,-118.1424897,34.14581025,11,343,189,300,2,10,10,"[{'url': '/categories/11', 'name': 'Mall'}]",California
21,37,123005,1,123005,2009-11-22T21:27:51Z,-118.1071736667,34.1497695833,4,81,58,75,0,3,10,"[{'url': '/categories/444', 'name': 'In-N-Out Burger'}]",California
22,37,300105,1,300105,2009-12-31T04:03:31Z,-157.825191021,21.2761781396,9,123,80,75,2,5,10,"[{'url': '/categories/49', 'name': 'Luxury Hotel'}]",Hawaii
23,37,308219,1,308219,2010-01-01T19:49:24Z,-118.1122181,34.1696408333,0,31,15,75,0,2,10,"[{'url': '/categories/106', 'name': 'Grocery'}]",California
24,37,355154,1,355154,2010-01-10T01:02:07Z,-118.0491015315,34.1348080964,2,89,67,50,0,3,10,"[{'url': '/categories/236', 'name': 'Fine Dining'}]",California
25,37,355356,1,355356,2010-01-10T01:27:42Z,-118.0505847931,34.1350212273,7,446,233,300,0,8,10,"[{'url': '/categories/11', 'name': 'Mall'}]",California
26,37,355396,1,355396,2010-01-10T01:31:22Z,-118.0488359928,34.1352876403,8,228,131,100,0,4,10,"[{'url': '/categories/462', 'name': 'AMC Theatre'}]",California
27,37,416618,1,416618,2010-01-20T00:50:34Z,-157.6856195927,21.2764380765,7,69,54,300,1,6,10,"[{'url': '/categories/113', 'name': 'Big Blue Wet Thing'}]",Hawaii
28,37,831968,1,831968,2010-03-30T19:04:10Z,-118.1317922167,34.1781505167,0,11,8,75,0,1,10,"[{'url': '/categories/119', 'name': 'Gas & Automotive'}]",California
29,37,865760,1,865760,2010-04-03T21:51:28Z,-118.13259255,34.1397431833,2,64,45,75,0,1,10,"[{'url': '/categories/16', 'name': 'American'}]",California
30,37,890923,1,890923,2010-04-07T16:57:59Z,-118.1516720248,34.132308121,0,8,6,75,0,1,10,"[{'url': '/categories/192', 'name': ""Doctor's Office""}]",California
31,37,1024931,1,1024931,2010-04-27T22:27:27Z,-118.1436252594,34.1451887255,11,316,168,100,0,12,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]",California
32,37,1133205,1,1133205,2010-05-18T05:08:58Z,-118.13186525,34.1853820833,0,10,8,75,0,1,10,"[{'url': '/categories/154', 'name': 'Burgers'}]",California
33,37,1148935,2,1148935,2010-05-21T18:50:47Z,-118.1491244833,34.1321270333,1,14,3,75,0,0,10,"[{'url': '/categories/118', 'name': 'Health & Fitness'}]",California
34,37,1194745,2,1194745,2010-05-30T01:01:29Z,-118.36524275,34.24951375,0,8,6,150,0,0,10,"[{'url': '/categories/55', 'name': 'Other - Parks '}]",California
35,37,1270165,2,1270165,2010-06-13T06:38:46Z,-118.1425498667,34.1815381,0,3,2,75,0,0,10,"[{'url': '/categories/112', 'name': 'Music'}]",California
36,37,1279368,1,1279368,2010-06-15T04:23:25Z,-118.1489064075,34.1468960882,0,6,6,75,0,0,10,"[{'url': '/categories/160', 'name': 'Indian'}]",California
37,37,2387533,1,2387533,2010-08-25T02:55:50Z,-157.82544215,21.27685067,0,25,24,100,0,0,10,"[{'url': '/categories/202', 'name': 'Discount Store'}]",Hawaii
38,45,22370,1,22370,2009-08-24T18:48:07Z,-117.8612744808,33.6791130406,120,3992,1706,1500,3,10,10,"[{'url': '/categories/45', 'name': 'Airport'}]",California
43,45,7360178,1,7360178,2011-05-10T18:47:26Z,-117.9341897924,33.6160310324,0,6,5,150,0,0,10,"[{'url': '/categories/99', 'name': 'Beach'}]",California
44,53,17579,1,17579,2009-07-13T15:31:39Z,-118.1967759132,33.762041537,36,312,281,150,2,10,10,"[{'url': '/categories/76', 'name': 'Aquarium'}]",California
45,53,286512,1,286512,2009-12-28T23:07:05Z,-118.3719676104,33.9018325091,4,40,25,100,0,2,10,"[{'url': '/categories/436', 'name': ""McDonald's""}]",California
46,53,290022,2,290022,2009-12-29T17:17:37Z,-118.2852210667,34.1574583833,5,161,60,50,0,7,10,"[{'url': '/categories/58', 'name': 'Other - Entertainment'}]",California
47,53,644423,2,644423,2010-03-04T18:51:18Z,-118.37401925,33.9015575,0,52,39,75,0,2,10,"[{'url': '/categories/433', 'name': 'Starbucks'}]",California
48,53,1541920,1,1541920,2010-08-01T17:14:05Z,-118.3727449179,33.8984441757,1,60,18,75,0,0,10,"[{'url': '/categories/119', 'name': 'Gas & Automotive'}]",California
49,81,9220,1,9220,2009-02-25T03:55:53Z,-97.7396321167,30.2672588667,143,4288,2045,100,26,11,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]",Texas
50,81,9221,1,9221,2009-02-25T04:03:51Z,-97.741265595,30.2675137962,92,3042,2069,50,6,10,10,"[{'url': '/categories/28', 'name': 'Dive Bar'}]",Texas
51,81,9222,1,9222,2009-02-25T04:11:34Z,-97.7416598797,30.2681578017,212,4423,2739,100,22,12,10,"[{'url': '/categories/49', 'name': 'Luxury Hotel'}]",Texas
52,81,9226,1,9226,2009-02-25T05:00:17Z,-97.7427971363,30.2663601354,51,1297,762,100,3,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",Texas
53,81,9246,1,9246,2009-02-25T23:03:57Z,-97.7395677567,30.2636079743,555,17323,6511,500,15,12,10,"[{'url': '/categories/243', 'name': 'Convention Center'}]",Texas
54,81,9247,1,9247,2009-02-25T23:07:47Z,-97.7385485172,30.265294493,149,6855,3445,75,7,10,10,"[{'url': '/categories/47', 'name': 'Modern Hotel'}]",Texas
55,81,9248,1,9248,2009-02-25T23:13:08Z,-97.7391815186,30.2652388939,30,1377,973,150,0,10,10,"[{'url': '/categories/38', 'name': 'City Park'}]",Texas
56,81,9249,1,9249,2009-02-26T00:58:25Z,-97.739444375,30.2672543395,149,3262,2371,75,13,11,10,"[{'url': '/categories/15', 'name': 'Mexican'}]",Texas
57,81,9253,1,9253,2009-02-26T05:38:44Z,-97.7397340536,30.2673076209,34,1257,915,50,7,10,10,"[{'url': '/categories/155', 'name': 'Pizza'}]",Texas
58,81,9254,1,9254,2009-02-26T16:38:12Z,-97.7390956879,30.2621994311,99,1886,1486,60,10,10,10,"[{'url': '/categories/17', 'name': 'BBQ'}]",Texas
59,81,10305,1,10305,2009-03-27T22:07:21Z,-97.74220705,30.26955485,206,3180,1808,100,20,10,10,"[{'url': '/categories/103', 'name': 'Theatre'}]",Texas
60,81,13087,1,13087,2009-05-13T18:24:11Z,-97.7424001694,30.2686303786,72,2456,992,100,9,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Texas
61,81,17696,1,17696,2009-07-14T22:50:15Z,-122.4109768867,37.763099645,31,552,242,50,1,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",California
62,81,19542,1,19542,2009-08-01T19:46:03Z,-122.3861503601,37.6163560649,639,25706,9105,2500,30,10,10,"[{'url': '/categories/45', 'name': 'Airport'}]",California
63,81,47667,1,47667,2009-10-14T18:47:21Z,-157.8883464855,21.326689258,0,97,31,100,0,5,10,"[{'url': '/categories/68', 'name': 'Contemporary Church'}]",Hawaii
64,81,85577,2,85577,2009-11-07T20:41:36Z,-157.9158818722,21.335531796,48,239,96,50,3,10,10,"[{'url': '/categories/433', 'name': 'Starbucks'}]",Hawaii
65,81,125050,1,125050,2009-11-23T17:21:45Z,-157.8798794833,21.3242551833,1,44,32,75,0,5,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Hawaii
66,81,128873,2,128873,2009-11-24T21:38:16Z,-157.8559452295,21.2991857748,11,207,88,50,0,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Hawaii
67,81,666803,1,666803,2010-03-08T17:53:38Z,-97.7412887183,30.2681392731,1,54,45,75,0,3,10,"[{'url': '/categories/101', 'name': 'Sandwich Shop'}]",Texas
68,81,759363,1,759363,2010-03-21T00:26:38Z,-97.7394658327,30.2672052383,1,172,157,100,0,8,10,"[{'url': '/categories/165', 'name': 'Plaza / Square'}]",Texas
69,81,2498079,1,2498079,2010-08-26T20:28:01Z,-97.7374863625,30.266350869,36,945,693,300,3,11,10,"[{'url': '/categories/234', 'name': 'Special Event'}]",Texas
70,81,3142623,1,3142623,2010-09-05T00:53:17Z,-157.841977927,21.29106851,1,46,22,75,0,1,10,"[{'url': '/categories/18', 'name': 'Asian'}]",Hawaii
71,81,6591488,1,6591488,2010-12-16T04:50:00Z,-157.840116717,21.296282267,3,30,28,75,0,3,10,"[{'url': '/categories/123', 'name': 'Breakfast'}]",Hawaii
72,81,6708957,2,6708957,2011-01-06T06:21:08Z,-157.8474331,21.293317268,9,139,35,75,0,9,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Hawaii
73,81,6745159,1,6745159,2011-01-12T20:05:56Z,-97.7475500107,30.2650720966,660,5422,3835,1000,28,10,10,"[{'url': '/categories/370', 'name': 'Party'}]",Texas
74,81,7039899,1,7039899,2011-03-08T17:28:50Z,-97.739610672,30.2631817068,143,2398,1965,300,6,10,10,"[{'url': '/categories/234', 'name': 'Special Event'}]",Texas
75,81,7040412,1,7040412,2011-03-08T19:22:53Z,-97.7397072315,30.2634041075,2,209,185,100,0,2,10,"[{'url': '/categories/373', 'name': 'Meet Up'}]",Texas
76,81,7041928,1,7041928,2011-03-09T04:32:56Z,-97.7398252487,30.2643029718,0,120,116,100,0,1,10,"[{'url': '/categories/373', 'name': 'Meet Up'}]",Texas
77,81,7048639,1,7048639,2011-03-10T13:24:27Z,-97.74340868,30.2678149504,151,1838,1224,300,16,10,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]",Texas
78,81,7072522,1,7072522,2011-03-14T15:45:14Z,-97.740065438,30.263761158,15,533,522,75,1,3,10,"[{'url': '/categories/369', 'name': 'Exhibit'}]",Texas
79,93,9220,2,9220,2009-02-25T03:55:53Z,-97.7396321167,30.2672588667,143,4288,2045,100,26,11,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]",Texas
80,93,10759,1,10759,2009-04-07T03:49:29Z,-97.7390742302,30.2803328809,91,1141,817,150,4,10,10,"[{'url': '/categories/73', 'name': 'History Museum'}]",Texas
81,93,11369,1,11369,2009-04-17T18:19:41Z,-97.93899535,29.87074255,17,279,176,75,0,7,10,"[{'url': '/categories/67', 'name': 'Wings'}]",Texas
82,93,15245,2,15245,2009-06-13T18:28:15Z,-97.7330982685,30.2644327041,76,1986,755,50,18,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Texas
83,93,17831,2,17831,2009-07-16T17:31:12Z,-97.7445030212,30.2670273144,445,4732,2237,75,28,10,10,"[{'url': '/categories/187', 'name': 'Hot Dogs & Sausages'}]",Texas
84,93,18556,1,18556,2009-07-23T17:11:06Z,-97.7419441938,30.269946169,8,717,307,50,5,10,10,"[{'url': '/categories/363', 'name': 'Chipotle'}]",Texas
85,93,19058,1,19058,2009-07-28T16:41:19Z,-97.7637835833,30.34300405,0,90,69,75,0,4,10,"[{'url': '/categories/154', 'name': 'Burgers'}]",Texas
86,93,20918,1,20918,2009-08-13T22:59:28Z,-97.7311885357,30.2645624362,24,613,431,50,1,10,10,"[{'url': '/categories/117', 'name': 'Salon & Barbershop'}]",Texas
87,93,64951,1,64951,2009-10-27T14:05:55Z,-97.9288161167,29.8872928667,3,66,40,250,0,2,10,"[{'url': '/categories/79', 'name': 'Stadium'}]",Texas
88,93,180328,3,180328,2009-12-08T03:00:52Z,-97.7409410477,30.2676481574,107,1268,957,50,10,10,10,"[{'url': '/categories/32', 'name': 'Live Music'}]",Texas
89,93,274192,1,274192,2009-12-26T21:21:55Z,-97.7388596535,30.2804903873,46,942,711,100,0,10,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]",Texas
